,0,1,2,3,4,5,6,7
index,count,mean,std,min,25%,50%,75%,max
energy_100g,97884.0,1125.1014598913,715.3924626699926,0.0,418.0,1117.0,1674.0,2870.0
fat_100g,97884.0,12.040819868416392,12.88363069515124,0.0,1.02,7.395,20.51,50.0
saturated-fat_100g,97884.0,4.199276368967359,5.50300122196638,0.0,0.0,1.79,6.67,22.0
trans-fat_100g,97884.0,5.57854194761146e-05,0.0025728803047770487,0.0,0.0,0.0,0.0,0.158
cholesterol_100g,97884.0,0.015252775898001067,0.026221158269845734,0.0,0.0,0.0,0.02,0.107
carbohydrates_100g,97884.0,33.741340065790816,26.600521415497408,0.0,8.8,26.67,58.06,90.0
sugars_100g,97884.0,13.694062063258299,16.525799371748704,0.0,1.75,5.56,22.22,65.0
fiber_100g,97884.0,2.354573011932679,2.882877533998562,0.0,0.0,1.5,3.6,14.7
proteins_100g,97884.0,7.212991438846485,6.590543232222648,0.0,2.5,5.38,10.39,28.57
salt_100g,97884.0,0.8805560697151918,0.8099324433252195,0.0,0.15494000000000002,0.73406,1.35382,3.71856
sodium_100g,97884.0,0.3466755636150835,0.31887041940834193,0.0,0.061,0.289,0.5329999999999999,1.464
vitamin-a_100g,97884.0,7.222269615055214e-05,0.0001395356350746396,0.0,0.0,0.0,9.51e-05,0.0010713
vitamin-c_100g,97884.0,0.002872227228147633,0.006827366924053881,0.0,0.0,0.0,0.002,0.047
calcium_100g,97884.0,0.07841877508069911,0.13752153377350618,0.0,0.0,0.033,0.1,0.7140000000000001
iron_100g,97884.0,0.001295593132851243,0.001413351118760462,0.0,0.0,0.0009,0.00212,0.00675
nutrition-score-fr_100g,97884.0,8.577612275754975,9.008476869737795,-10.0,1.0,8.0,16.0,36.0
