,column_name,missing_count,filling_factor
0,somme_total,0,100.0
1,interval_moyenne_horaire,0,100.0
2,interval_jour_achat_n1,0,100.0
3,valeur_facture_1,0,100.0
4,day_of_week,0,100.0
5,ecart_max_2_achats,0,100.0
6,ecart_min_2_achats,0,100.0
7,interval_heure_achat_n1,0,100.0
8,ecart_moy_2_achats,0,100.0
9,mean_nb_categorie_facture,0,100.0
10,mean_somme_par_facture,0,100.0
11,mean_nb_article_facture,0,100.0
12,nb_factures,0,100.0
13,nb_categorie_total,0,100.0
14,nb_article_total,0,100.0
15,mean_somme_par_article,0,100.0
16,labels,0,100.0
